Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.0,0.015106951989965395,0.012904630441357711,-0.10944494981172426,
0.002352083,0.02357723577677151,0.016069541445485766,-0.12777736487867664,
0.004704583,0.020777067652217075,0.016686188237756104,-0.13478185894395622,
0.007056614,0.02045221367348951,0.011433674539637256,-0.13655397226258614,
0.009408385,0.02210760654107509,0.0034011025393102107,-0.12073533479249043,
0.011760781,0.021516643294459802,0.0027208820314481713,-0.09467328980664824,
0.01411276,0.013382756573968112,2.614265943586755E-4,-0.060415755868756804,
0.016464114,0.004960369656891013,2.0914127548694178E-4,-0.015772637653990174,
0.018815781,1.3773617379696235E-4,-0.005578524072010045,0.01994185691782313,
0.021167969,-0.01904260136896109,-0.008293377319207769,0.050427667663164755,
0.023520937,-0.017149360125968738,-0.006634701855366215,0.0786477981930318,
0.025873542,-0.015634767131574856,-0.009138319545892701,0.1031388806442699,
0.028225417,-0.016338371766859615,0.0041810170579689165,0.1265632285388527,
0.03057776,-0.011155415402455585,-0.0024010219559083452,0.12040341486233253,
0.032929687,-0.016585454405628405,-0.015327770780325736,0.0924920128957254,
0.035281458,-0.01709892158610246,-0.006516379531860992,0.06824791329509594,
0.03763401,-0.015594413319449593,-0.0013825470540051836,0.03927545465951354,
0.03998651,-0.0067296965433923175,-0.010682431307087355,0.004606856647532354,
0.042339062,0.013769036053517036,-0.006630666759928079,-0.028874481722988676,
0.044691146,0.014845786904413363,0.008102420552714658,-0.05182807048581317,
0.047043073,0.01570718907524654,0.012227773534571326,-0.07976812045115089,
0.049395937,0.02214214641419656,0.00595166076605733,-0.10212016042342142,
0.051748385,0.019628994672040996,0.0047613286128458665,-0.09510326334850205,
0.054100573,0.01953375379923253,0.007639620951876425,-0.08374328572763012,
0.056453125,0.006050607885386694,0.004196416240585157,-0.06699462858210303,
0.058805573,0.0010099282467096217,0.0033571329924681273,-0.053595702865681716,
0.061158385,0.0065537796897672945,-0.003060129208308976,-0.03330090921637385,
0.063510625,-5.028133405857622E-4,-5.328243358473164E-4,0.009749958662057523,
0.0658625,-0.006148087764868207,-0.0023415384994777202,0.03461423694917798,
0.068215417,-0.012579583354861791,-0.007619067891981773,0.06216557168824899,
0.070567708,-0.013894227725721409,-0.009925812375185153,0.0784624683369266,
0.072919427,-0.007284821138745158,-0.007940649900148124,0.07234562774571351,
0.07527151,-0.007743138922028228,-0.004437240889318635,0.0655379401848517,
0.077623698,-0.004279229126590477,-0.0035497927114549084,0.06009102719670878,
0.07997651,-0.005338665312304487,0.004821281954035535,0.05573502268510211,
0.082329219,-0.0023556502388114853,0.0019417465324285607,0.031180120198863293,
0.084681146,0.011522430044317633,-0.004192439866456749,0.013452702116122595,
0.087033437,0.003472106943054512,4.766046783182126E-4,-0.014136367359835589,
0.089385364,0.002777685554443611,0.002296564263570555,-0.040039104874196596,
0.091736927,0.007967985535954486,0.00949836604393979,-0.04352191500287361,
0.094088906,0.004459110888079841,0.007598692835151834,-0.05588610500034541,
0.096440729,0.007397845281947486,0.004163676727437723,-0.0581160190100416,
0.098792864,0.0040029971947581275,0.0033309413819501803,-0.05989995021779926,
0.101144635,0.0012871202151227557,-0.0011658049560395872,-0.061326332244551196,
0.103496146,0.004860252743581817,9.826350659681987E-4,-0.03373818981907917,
0.105848906,-0.001857634897534148,0.012277782237573753,-0.0020927857419827944,
0.108201562,-0.009147224041226781,2.458306360596761E-4,0.007902187422040186,
0.110553698,-0.013063616325381028,-0.005549172583551858,0.015898165953258214,
0.112906094,-0.006620332018472855,0.0013064990255581103,0.02037997075088782,
0.115258333,-0.005296265614778285,-8.700798103533774E-4,0.03162608963781999,
0.117610989,-0.006152294502854733,-0.004526621909882435,0.0482836597961942,
0.119963021,-0.006837114633083653,-0.007451855589505677,0.044372624858439735,
0.122314687,-0.00930024678783442,-0.004046206930920795,0.03358312185940804,
0.124667552,-0.003609642348900044,-0.0032369655447366356,0.038358654469949016,
0.127019896,0.0028581232132795648,-6.742919148733234E-4,0.030686923575959923,
